  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
  0.00  31.01   0.00  93.68  95.49  94.34     73    3.202     3    0.610    3.812
  0.00  31.01   0.00  93.68  95.49  94.34     73    3.202     3    0.610    3.812
  0.00  31.01   0.00  93.68  95.49  94.34     73    3.202     3    0.610    3.812
  0.00   0.00  12.41  33.74  95.49  94.34     73    3.202     3    1.451    4.653
  0.00   0.00  44.17  33.74  95.49  94.34     73    3.202     3    1.451    4.653
  0.00   0.00  93.80  33.74  95.49  94.34     73    3.202     3    1.451    4.653
 52.94   0.00  41.80  42.69  95.49  94.34     74    3.229     3    1.451    4.681
 52.94   0.00  81.60  42.69  95.49  94.34     74    3.229     3    1.451    4.681
  0.00  60.11  25.92  45.88  95.49  94.34     75    3.265     3    1.451    4.716
  0.00  60.11  77.76  45.88  95.49  94.34     75    3.265     3    1.451    4.716
 62.19   0.00  21.96  49.80  95.49  94.34     76    3.305     3    1.451    4.756
 62.19   0.00  71.85  49.80  95.49  94.34     76    3.305     3    1.451    4.756
  0.00  69.35  13.98  53.44  95.49  94.34     77    3.348     3    1.451    4.799
  0.00  69.35  65.91  53.44  95.49  94.34     77    3.348     3    1.451    4.799
 64.45   0.00   9.99  57.66  95.49  94.34     78    3.392     3    1.451    4.843
 64.45   0.00  59.95  57.66  95.49  94.34     78    3.392     3    1.451    4.843
  0.00  62.58   0.00  61.30  95.49  94.34     79    3.452     3    1.451    4.903
  0.00  62.58  46.64  61.30  95.49  94.34     79    3.452     3    1.451    4.903
  0.00  62.58  76.62  61.30  95.49  94.34     79    3.452     3    1.451    4.903
 48.78  62.58  95.68  68.04  95.49  94.34     80    3.452     3    1.451    4.903
100.00   0.00  50.19  70.32  95.49  94.34     80    3.520     3    1.451    4.971
  0.00  96.63   0.00  73.62  95.49  94.34     81    3.544     3    1.451    4.995
  0.00  96.63  47.76  73.62  95.49  94.34     81    3.544     3    1.451    4.995
 36.98   0.00   0.00  75.32  95.49  94.34     82    3.571     3    1.451    5.022
 36.98   0.00  53.83  75.32  95.49  94.34     82    3.571     3    1.451    5.022
  0.00  98.90   0.00  78.72  95.49  94.34     83    3.608     3    1.451    5.060
  0.00  98.90  55.88  78.72  95.49  94.34     83    3.608     3    1.451    5.060
 44.89   0.00   0.00  82.12  95.49  94.34     84    3.650     3    1.451    5.101
 44.89   0.00  55.92  82.12  95.49  94.34     84    3.650     3    1.451    5.101
  0.00  40.09   2.00  86.09  95.49  94.34     85    3.691     3    1.451    5.143
  0.00  40.09  57.95  86.09  95.49  94.34     85    3.691     3    1.451    5.143
 41.46   0.00   0.00  89.50  95.49  94.34     86    3.747     3    1.451    5.198
 41.46   0.00  53.97  89.50  95.49  94.34     86    3.747     3    1.451    5.198
  0.00  43.35   0.00  92.90  95.49  94.34     87    3.803     4    1.451    5.254
  0.00  43.35   0.00  92.90  95.49  94.34     87    3.803     4    1.451    5.254
  0.00  43.35   0.00  92.90  95.49  94.34     87    3.803     4    1.451    5.254
  0.00   0.00   6.00  22.86  95.49  94.34     87    3.803     4    2.167    5.969
  0.00   0.00  49.98  22.86  95.49  94.34     87    3.803     4    2.167    5.969
  0.00   0.00  68.75  22.86  95.49  94.34     87    3.803     4    2.167    5.969
  0.00   0.00  93.85  22.86  95.49  94.34     88    3.803     4    2.167    5.969
 33.51   0.00  45.92  33.40  95.49  94.34     88    3.837     4    2.167    6.004
 33.51  19.62 100.00  35.94  95.49  94.34     89    3.837     4    2.167    6.004
