
 num     #instances         #bytes  class name
 138:             5            240  java.util.TreeMap
 139:            15            240  java.util.jar.JarVerifier$3
 140:            10            240  java.util.regex.Pattern$1
 141:             5            240  sun.util.locale.provider.LocaleResources$ResourceReference
 142:             7            224  java.util.ResourceBundle$LoaderReference
 143:             9            216  sun.reflect.generics.tree.SimpleClassTypeSignature
 144:             2            200  [Ljava.text.DateFormat$Field;
 145:             6            192  java.io.FileInputStream
 146:             8            192  java.math.RoundingMode
 147:             3            192  java.text.SimpleDateFormat
 148:             4            192  java.util.Properties
 149:             6            192  java.util.regex.Pattern$Branch
 150:             8            192  org.apache.log4j.CategoryKey
 151:             6            192  org.apache.log4j.helpers.PatternParser$BasicPatternConverter
 152:             6            176  [Ljava.util.regex.Pattern$Node;
 153:             7            168  sun.reflect.NativeMethodAccessorImpl
 154:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 155:             2            160  [[Ljava.lang.String;
 156:             4            160  java.lang.ClassLoader$NativeLibrary
 157:             5            160  java.lang.ThreadLocal$ThreadLocalMap$Entry
 158:             4            160  java.text.DigitList
 159:             4            160  org.apache.log4j.Logger
 160:             4            160  sun.nio.cs.UTF_8$Decoder
 161:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 162:             9            152  [Lsun.reflect.generics.tree.TypeArgument;
 163:             3            144  java.io.BufferedReader
 164:             6            144  java.io.OutputStreamWriter
 165:             6            144  java.util.Date
 166:             3            144  org.apache.log4j.helpers.PatternParser
 167:             6            144  sun.misc.PerfCounter
 168:             3            144  sun.misc.URLClassPath
 169:             3            144  sun.nio.cs.StreamDecoder
 170:             6            144  sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator
 171:             8            128  [Ljava.security.Principal;
 172:             2            128  java.io.ExpiringCache$1
 173:             4            128  java.io.FilePermission
 174:             4            128  java.security.Permissions
 175:             8            128  java.security.ProtectionDomain$Key
 176:             4            128  java.util.Stack
 177:             2            128  org.apache.log4j.FileAppender
 178:             4            128  org.apache.log4j.ProvisionNode
 179:             2            128  sun.nio.cs.ext.DoubleByte$Encoder
 180:             8            128  sun.reflect.DelegatingMethodAccessorImpl
 181:             8            128  sun.reflect.generics.tree.ClassTypeSignature
 182:             3            120  java.io.BufferedWriter
 183:             5            120  java.lang.RuntimePermission
 184:             1            120  java.net.SocksSocketImpl
 185:             5            120  java.util.Collections$UnmodifiableRandomAccessList
 186:             5            120  java.util.regex.Pattern$5
 187:             3            120  java.util.regex.Pattern$Loop
 188:             3            120  org.apache.log4j.helpers.PatternParser$DatePatternConverter
