 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
68096.0 74240.0 26208.0  0.0   540160.0 474677.1  699392.0   596944.9  5760.0 5496.5 640.0  603.8      32    1.409   0      0.000    1.409
71168.0 74240.0  0.0   22688.0 540160.0 194281.0  699392.0   623161.0  5760.0 5496.5 640.0  603.8      33    1.454   0      0.000    1.454
71168.0 74240.0  0.0   22688.0 540160.0 496496.5  699392.0   623161.0  5760.0 5496.5 640.0  603.8      33    1.454   0      0.000    1.454
62976.0 68608.0 22592.0  0.0   553472.0 199132.6  699392.0   645841.0  5760.0 5496.5 640.0  603.8      34    1.505   0      0.000    1.505
62976.0 68608.0 22592.0  0.0   553472.0 508895.7  699392.0   645841.0  5760.0 5496.5 640.0  603.8      34    1.505   0      0.000    1.505
65536.0 68608.0  0.0   23168.0 553472.0   0.0     699392.0   668473.0  5760.0 5496.5 640.0  603.8      35    1.557   1      0.000    1.557
65536.0 68608.0  0.0   23168.0 553472.0   0.0     699392.0   668473.0  5760.0 5496.5 640.0  603.8      35    1.557   1      0.000    1.557
65536.0 68608.0  0.0   23168.0 553472.0   0.0     699392.0   668473.0  5760.0 5496.5 640.0  603.8      35    1.557   1      0.000    1.557
65536.0 68608.0  0.0    0.0   553472.0 203269.6  699392.0   156419.2  5760.0 5496.5 640.0  603.8      35    1.557   1      0.733    2.290
65536.0 68608.0  0.0    0.0   553472.0 413508.4  699392.0   156419.2  5760.0 5496.5 640.0  603.8      35    1.557   1      0.733    2.290
65536.0 68608.0  0.0    0.0   553472.0 535650.2  699392.0   156419.2  5760.0 5496.5 640.0  603.8      36    1.557   1      0.733    2.290
65536.0 78848.0 65519.0  0.0   541184.0 282975.5  699392.0   165859.2  5760.0 5496.5 640.0  603.8      36    1.613   1      0.733    2.346
65536.0 78848.0 65519.0 6288.0 541184.0 541184.0  699392.0   186835.2  5760.0 5496.5 640.0  603.8      37    1.613   1      0.733    2.346
78336.0 78848.0  0.0   11408.0 541184.0 301590.8  699392.0   186835.2  5760.0 5496.5 640.0  603.8      37    1.637   1      0.733    2.370
70656.0 74752.0 23808.0  0.0   541696.0 43199.0   699392.0   197691.3  5760.0 5496.5 640.0  603.8      38    1.665   1      0.733    2.398
70656.0 74752.0 23808.0  0.0   541696.0 345590.8  699392.0   197691.3  5760.0 5496.5 640.0  603.8      38    1.665   1      0.733    2.398
71168.0 74752.0  0.0   24832.0 541696.0 64870.2   699392.0   220507.3  5760.0 5496.5 640.0  603.8      39    1.700   1      0.733    2.433
71168.0 74752.0  0.0   24832.0 541696.0 313539.4  699392.0   220507.3  5760.0 5496.5 640.0  603.8      39    1.700   1      0.733    2.433
64512.0 68096.0 24800.0  0.0   552960.0 22088.9   699392.0   244323.3  5760.0 5496.5 640.0  603.8      40    1.738   1      0.733    2.471
64512.0 68096.0 24800.0  0.0   552960.0 331334.5  699392.0   244323.3  5760.0 5496.5 640.0  603.8      40    1.738   1      0.733    2.471
65024.0 68096.0  0.0   25216.0 552960.0 44198.5   699392.0   269163.3  5760.0 5496.5 640.0  603.8      41    1.783   1      0.733    2.516
65024.0 68096.0  0.0   25216.0 552960.0 353587.8  699392.0   269163.3  5760.0 5496.5 640.0  603.8      41    1.783   1      0.733    2.516
59392.0 62464.0 23136.0  0.0   565760.0 56544.2   699392.0   294387.3  5760.0 5496.5 640.0  603.8      42    1.825   1      0.733    2.558
59392.0 62464.0 23136.0  0.0   565760.0 361882.6  699392.0   294387.3  5760.0 5496.5 640.0  603.8      42    1.825   1      0.733    2.558
59904.0 62464.0  0.0   23680.0 565760.0 45244.2   699392.0   317547.3  5760.0 5496.5 640.0  603.8      43    1.876   1      0.733    2.609
59904.0 62464.0  0.0   23680.0 565760.0 328020.8  699392.0   317547.3  5760.0 5496.5 640.0  603.8      43    1.876   1      0.733    2.609
59904.0 62464.0  0.0   23680.0 565760.0 479160.2  699392.0   317547.3  5760.0 5496.5 640.0  603.8      43    1.876   1      0.733    2.609
59904.0 68096.0 58863.0  0.0   562688.0 48032.7   699392.0   341251.3  5760.0 5496.5 640.0  603.8      44    1.943   1      0.733    2.676
59904.0 68096.0 58863.0  0.0   562688.0 331860.1  699392.0   341251.3  5760.0 5496.5 640.0  603.8      44    1.943   1      0.733    2.676
68096.0 68096.0  0.0   10192.0 562688.0 44794.0   699392.0   364683.4  5760.0 5496.5 640.0  603.8      45    1.967   1      0.733    2.700
68096.0 68096.0  0.0   10192.0 562688.0 358352.6  699392.0   364683.4  5760.0 5496.5 640.0  603.8      45    1.967   1      0.733    2.700
61952.0 65024.0 24736.0  0.0   562688.0 78525.2   699392.0   374435.4  5760.0 5496.5 640.0  603.8      46    1.993   1      0.733    2.726
61952.0 65024.0 24736.0  0.0   562688.0 381407.3  699392.0   374435.4  5760.0 5496.5 640.0  603.8      46    1.993   1      0.733    2.726
61952.0 65024.0  0.0   25728.0 562688.0 44921.9   699392.0   398147.4  5760.0 5496.5 640.0  603.8      47    2.039   1      0.733    2.772
61952.0 65024.0  0.0   25728.0 562688.0 348143.9  699392.0   398147.4  5760.0 5496.5 640.0  603.8      47    2.039   1      0.733    2.772
54784.0 58368.0 27648.0  0.0   571904.0   0.0     699392.0   421827.4  5760.0 5496.5 640.0  603.8      48    2.084   1      0.733    2.817
54784.0 58368.0 27648.0  0.0   571904.0 217030.9  699392.0   421827.4  5760.0 5496.5 640.0  603.8      48    2.084   1      0.733    2.817
54784.0 58368.0 27648.0  0.0   571904.0 445484.0  699392.0   421827.4  5760.0 5496.5 640.0  603.8      48    2.084   1      0.733    2.817
56320.0 58368.0  0.0   24000.0 571904.0 102852.7  699392.0   449515.4  5760.0 5496.5 640.0  603.8      49    2.132   1      0.733    2.865
56320.0 58368.0  0.0   24000.0 571904.0 354270.7  699392.0   449515.4  5760.0 5496.5 640.0  603.8      49    2.132   1      0.733    2.865
50688.0 54272.0 23936.0  0.0   584192.0   0.0     699392.0   473547.4  5760.0 5496.5 640.0  603.8      50    2.210   1      0.733    2.943
50688.0 54272.0 23936.0  0.0   584192.0 233543.9  699392.0   473547.4  5760.0 5496.5 640.0  603.8      50    2.210   1      0.733    2.943
50688.0 54272.0 23936.0  0.0   584192.0 525474.0  699392.0   473547.4  5760.0 5496.5 640.0  603.8      50    2.210   1      0.733    2.943
51712.0 54272.0  0.0   24448.0 584192.0 144250.6  699392.0   497499.4  5760.0 5496.5 640.0  603.8      51    2.277   1      0.733    3.010
51712.0 54272.0  0.0   24448.0 584192.0 331122.8  699392.0   497499.4  5760.0 5496.5 640.0  603.8      51    2.277   1      0.733    3.010
