
 num     #instances         #bytes  class name
 136:             5            240  java.io.BufferedReader
 137:             6            240  java.io.BufferedWriter
 138:            10            240  java.security.CryptoPrimitive
 139:             5            240  java.util.TreeMap
 140:            15            240  java.util.jar.JarVerifier$3
 141:            10            240  java.util.regex.Pattern$1
 142:             5            240  sun.nio.cs.StreamDecoder
 143:             6            240  sun.nio.cs.UTF_8$Decoder
 144:             5            240  sun.util.locale.provider.LocaleResources$ResourceReference
 145:             7            224  java.security.CodeSource
 146:            14            224  java.util.HashMap$KeySet
 147:             7            224  java.util.ResourceBundle$LoaderReference
 148:             9            216  java.io.OutputStreamWriter
 149:             9            216  sun.reflect.generics.tree.SimpleClassTypeSignature
 150:             2            200  [Ljava.text.DateFormat$Field;
 151:             8            192  java.math.RoundingMode
 152:             3            192  java.text.SimpleDateFormat
 153:             4            192  java.util.Properties
 154:             6            192  java.util.regex.Pattern$Branch
 155:             6            192  org.apache.log4j.helpers.PatternParser$BasicPatternConverter
 156:             8            192  sun.reflect.NativeMethodAccessorImpl
 157:             6            176  [Ljava.util.regex.Pattern$Node;
 158:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 159:             2            160  [[Ljava.lang.String;
 160:             4            160  java.lang.ClassLoader$NativeLibrary
 161:             5            160  java.lang.ThreadLocal$ThreadLocalMap$Entry
 162:             4            160  java.text.DigitList
 163:             4            160  java.util.HashMap$KeyIterator
 164:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 165:             9            152  [Lsun.reflect.generics.tree.TypeArgument;
 166:             6            144  java.lang.StringBuilder
 167:             6            144  java.util.Date
 168:             6            144  org.apache.log4j.CategoryKey
 169:             3            144  org.apache.log4j.helpers.PatternParser
 170:             6            144  sun.misc.PerfCounter
 171:             3            144  sun.misc.URLClassPath
 172:             6            144  sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator
 173:             2            128  java.io.ExpiringCache$1
 174:             4            128  java.io.FilePermission
 175:             4            128  java.security.Permissions
 176:             8            128  java.util.HashMap$Values
 177:             4            128  java.util.Stack
 178:             2            128  org.apache.log4j.FileAppender
 179:             4            128  strategy.BufferInputStrategy
 180:             2            128  sun.nio.cs.ext.DoubleByte$Encoder
 181:             8            128  sun.reflect.DelegatingMethodAccessorImpl
 182:             8            128  sun.reflect.generics.tree.ClassTypeSignature
 183:             5            120  java.io.InputStreamReader
 184:             5            120  java.lang.RuntimePermission
 185:             1            120  java.net.SocksSocketImpl
 186:             5            120  java.util.Collections$UnmodifiableRandomAccessList
 187:             5            120  java.util.regex.Pattern$5
 188:             3            120  java.util.regex.Pattern$Loop
 189:             3            120  org.apache.log4j.Logger
 190:             3            120  org.apache.log4j.helpers.PatternParser$DatePatternConverter
 191:             3            120  org.apache.log4j.helpers.PatternParser$LocationPatternConverter
 192:             3            120  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 193:             5            120  sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
 194:             2            112  [Ljava.security.CryptoPrimitive;
 195:             7            112  [Ljava.security.Principal;
 196:             7            112  java.security.ProtectionDomain$Key
 197:             2            112  java.util.LinkedHashMap
 198:             5            104  [Lsun.reflect.generics.tree.FieldTypeSignature;
 199:             5             96  [Ljava.lang.reflect.Type;
 200:             4             96  graph.GraphPoet
 201:             4             96  java.io.FilePermissionCollection
 202:             2             96  java.lang.ThreadGroup
 203:             3             96  java.security.BasicPermissionCollection
 204:             4             96  java.util.concurrent.atomic.AtomicLong
 205:             6             96  java.util.regex.Pattern$BranchConn
 206:             3             96  org.apache.log4j.PatternLayout
 207:             3             96  org.apache.log4j.ProvisionNode
 208:             3             96  org.apache.log4j.helpers.QuietWriter
 209:             4             96  strategy.BufferOutputStrategy
 210:             1             96  sun.misc.Launcher$AppClassLoader
 211:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo
 212:             1             88  java.net.DualStackPlainSocketImpl
 213:             1             88  sun.misc.Launcher$ExtClassLoader
 214:             2             80  java.io.ExpiringCache
 215:             5             80  java.lang.ThreadLocal
 216:             2             80  java.util.HashMap$ValueIterator
 217:             2             80  java.util.Locale$Category
 218:             2             80  org.apache.log4j.helpers.PatternParser$CategoryPatternConverter
 219:             3             72  java.net.Proxy$Type
 220:             3             72  java.util.Collections$SynchronizedSet
 221:             1             72  java.util.ResourceBundle$RBClassLoader
 222:             3             72  java.util.concurrent.ConcurrentHashMap$KeySetView
