n	3
h	20
t	3
N	3000
k	3
MV	5
ID	Strategy	Direction	ArriveTime	Velocity	Ladder
7590003	ChooseCrossingFastestStrategy	R2L	2295	5	2
7590002	ChooseCrossingFastestStrategy	R2L	2294	1	2
7590001	ChooseCrossingFastestStrategy	L2R	2294	4	1
1450002	ChooseCrossingFastestStrategy	L2R	452	3	1
1450003	ChooseCrossingFastestStrategy	R2L	452	2	3
1450001	ChooseCrossingFastestStrategy	R2L	452	1	2
9040001	ChooseCrossingFastestStrategy	R2L	2729	1	2
9040003	ChooseCrossingFastestStrategy	L2R	2730	5	1
9040002	ChooseCrossingFastestStrategy	L2R	2729	4	1
2900001	ChooseCrossingFastestStrategy	L2R	887	4	1
2900002	ChooseCrossingFastestStrategy	R2L	887	3	2
2900003	ChooseCrossingFastestStrategy	L2R	887	4	3
4690003	ChooseCrossingFastestStrategy	L2R	1425	2	1
4690002	ChooseCrossingFastestStrategy	L2R	1424	2	3
4690001	ChooseCrossingFastestStrategy	L2R	1424	5	1
5800001	ChooseCrossingFastestStrategy	R2L	1757	5	2
5800002	ChooseCrossingFastestStrategy	R2L	1758	3	2
5800003	ChooseCrossingFastestStrategy	R2L	1759	5	2
340001	ChooseCrossingFastestStrategy	R2L	119	5	2
2560003	ChooseCrossingFastestStrategy	R2L	785	3	3
2560002	ChooseCrossingFastestStrategy	L2R	785	4	1
340003	ChooseCrossingFastestStrategy	L2R	119	4	1
2560001	ChooseCrossingFastestStrategy	R2L	785	1	2
340002	ChooseCrossingFastestStrategy	R2L	119	2	3
1790003	ChooseCrossingFastestStrategy	L2R	556	4	1
1790002	ChooseCrossingFastestStrategy	L2R	555	5	1
1790001	ChooseCrossingFastestStrategy	L2R	554	5	1
4010001	ChooseCrossingFastestStrategy	L2R	1220	1	1
9380003	ChooseCrossingFastestStrategy	R2L	2831	1	3
9380002	ChooseCrossingFastestStrategy	R2L	2831	5	2
4010003	ChooseCrossingFastestStrategy	R2L	1221	4	2
9380001	ChooseCrossingFastestStrategy	L2R	2831	3	1
4010002	ChooseCrossingFastestStrategy	R2L	1220	2	2
6140001	ChooseCrossingFastestStrategy	L2R	1859	2	1
7250002	ChooseCrossingFastestStrategy	L2R	2192	2	1
8360003	ChooseCrossingFastestStrategy	L2R	2526	2	1
5030001	ChooseCrossingFastestStrategy	R2L	1526	4	2
7250003	ChooseCrossingFastestStrategy	L2R	2193	2	1
8360002	ChooseCrossingFastestStrategy	L2R	2525	2	1
5030002	ChooseCrossingFastestStrategy	R2L	1527	1	2
6140003	ChooseCrossingFastestStrategy	R2L	1860	5	2
8360001	ChooseCrossingFastestStrategy	R2L	2525	3	2
5030003	ChooseCrossingFastestStrategy	L2R	1526	4	1
6140002	ChooseCrossingFastestStrategy	R2L	1859	4	2
7250001	ChooseCrossingFastestStrategy	R2L	2192	3	2
680002	ChooseCrossingFastestStrategy	L2R	222	3	1
680003	ChooseCrossingFastestStrategy	R2L	221	2	2
680001	ChooseCrossingFastestStrategy	L2R	221	2	1
5120002	ChooseCrossingFastestStrategy	R2L	1554	2	2
5120003	ChooseCrossingFastestStrategy	R2L	1555	4	2
5120001	ChooseCrossingFastestStrategy	R2L	1553	1	2
8610003	ChooseCrossingFastestStrategy	L2R	2600	2	1
8610002	ChooseCrossingFastestStrategy	R2L	2600	5	3
8610001	ChooseCrossingFastestStrategy	R2L	2600	3	2
2470001	ChooseCrossingFastestStrategy	R2L	758	1	2
3580002	ChooseCrossingFastestStrategy	R2L	1092	5	2
3580003	ChooseCrossingFastestStrategy	R2L	1093	1	2
9720001	ChooseCrossingFastestStrategy	R2L	2933	3	2
2470003	ChooseCrossingFastestStrategy	L2R	758	4	1
9720002	ChooseCrossingFastestStrategy	L2R	2933	2	1
2470002	ChooseCrossingFastestStrategy	R2L	758	4	3
3580001	ChooseCrossingFastestStrategy	R2L	1091	1	2
9720003	ChooseCrossingFastestStrategy	R2L	2933	4	3
6910001	ChooseCrossingFastestStrategy	L2R	2090	1	1
8020002	ChooseCrossingFastestStrategy	R2L	2423	5	3
8020003	ChooseCrossingFastestStrategy	L2R	2424	1	1
6910003	ChooseCrossingFastestStrategy	R2L	2091	1	2
6910002	ChooseCrossingFastestStrategy	R2L	2090	5	2
8020001	ChooseCrossingFastestStrategy	R2L	2423	5	2
1020003	ChooseCrossingFastestStrategy	R2L	324	3	2
1020002	ChooseCrossingFastestStrategy	R2L	323	4	3
1020001	ChooseCrossingFastestStrategy	R2L	323	2	2
3240001	ChooseCrossingFastestStrategy	R2L	989	1	2
4350002	ChooseCrossingFastestStrategy	R2L	1322	2	2
5460003	ChooseCrossingFastestStrategy	L2R	1655	3	3
2130001	ChooseCrossingFastestStrategy	R2L	656	4	2
4350003	ChooseCrossingFastestStrategy	L2R	1322	3	1
5460002	ChooseCrossingFastestStrategy	R2L	1655	3	2
2130002	ChooseCrossingFastestStrategy	L2R	656	3	1
3240003	ChooseCrossingFastestStrategy	L2R	989	4	3
5460001	ChooseCrossingFastestStrategy	L2R	1655	1	1
2130003	ChooseCrossingFastestStrategy	L2R	657	5	1
3240002	ChooseCrossingFastestStrategy	L2R	989	1	1
4350001	ChooseCrossingFastestStrategy	R2L	1324	3	2
7680001	ChooseCrossingFastestStrategy	R2L	2321	4	2
6570001	ChooseCrossingFastestStrategy	R2L	1988	3	2
6570002	ChooseCrossingFastestStrategy	L2R	1988	1	1
7680003	ChooseCrossingFastestStrategy	L2R	2321	4	3
6570003	ChooseCrossingFastestStrategy	R2L	1989	1	2
7680002	ChooseCrossingFastestStrategy	L2R	2321	3	1
8950001	ChooseCrossingFastestStrategy	L2R	2702	5	1
8950002	ChooseCrossingFastestStrategy	L2R	2703	1	1
8950003	ChooseCrossingFastestStrategy	L2R	2704	2	1
3150001	ChooseCrossingFastestStrategy	L2R	962	5	1
3150002	ChooseCrossingFastestStrategy	R2L	962	1	2
3150003	ChooseCrossingFastestStrategy	L2R	962	5	3
4600002	ChooseCrossingFastestStrategy	R2L	1397	5	2
4600003	ChooseCrossingFastestStrategy	L2R	1397	4	3
4600001	ChooseCrossingFastestStrategy	L2R	1397	5	1
6050001	ChooseCrossingFastestStrategy	L2R	1832	4	1
6050002	ChooseCrossingFastestStrategy	R2L	1832	5	2
6050003	ChooseCrossingFastestStrategy	R2L	1833	4	2
250003	ChooseCrossingFastestStrategy	L2R	93	3	1
6390001	ChooseCrossingFastestStrategy	L2R	1934	5	1
7500002	ChooseCrossingFastestStrategy	R2L	2267	4	2
250002	ChooseCrossingFastestStrategy	R2L	92	5	2
7500003	ChooseCrossingFastestStrategy	L2R	2268	5	1
250001	ChooseCrossingFastestStrategy	L2R	92	2	1
6390003	ChooseCrossingFastestStrategy	R2L	1934	5	2
6390002	ChooseCrossingFastestStrategy	L2R	1934	2	3
7500001	ChooseCrossingFastestStrategy	L2R	2267	4	1
1360001	ChooseCrossingFastestStrategy	L2R	425	4	1
1360002	ChooseCrossingFastestStrategy	L2R	426	3	1
1360003	ChooseCrossingFastestStrategy	R2L	425	3	2
9130003	ChooseCrossingFastestStrategy	L2R	2757	5	1
9130002	ChooseCrossingFastestStrategy	R2L	2756	1	2
9130001	ChooseCrossingFastestStrategy	L2R	2756	5	1
9470001	ChooseCrossingFastestStrategy	L2R	2858	3	1
9470002	ChooseCrossingFastestStrategy	L2R	2859	2	1
9470003	ChooseCrossingFastestStrategy	R2L	2858	3	2
4940003	ChooseCrossingFastestStrategy	L2R	1499	2	3
4940002	ChooseCrossingFastestStrategy	L2R	1499	1	1
4940001	ChooseCrossingFastestStrategy	R2L	1499	3	2
7160001	ChooseCrossingFastestStrategy	L2R	2165	3	1
7160003	ChooseCrossingFastestStrategy	R2L	2166	4	2
7160002	ChooseCrossingFastestStrategy	R2L	2165	3	2
590001	ChooseCrossingFastestStrategy	L2R	194	3	1
1700001	ChooseCrossingFastestStrategy	L2R	527	3	1
2810002	ChooseCrossingFastestStrategy	R2L	860	3	2
3920003	ChooseCrossingFastestStrategy	L2R	1193	3	3
2810003	ChooseCrossingFastestStrategy	R2L	861	5	2
3920002	ChooseCrossingFastestStrategy	L2R	1193	3	1
590003	ChooseCrossingFastestStrategy	R2L	194	4	2
1700003	ChooseCrossingFastestStrategy	L2R	528	3	1
3920001	ChooseCrossingFastestStrategy	R2L	1193	4	2
590002	ChooseCrossingFastestStrategy	L2R	195	3	1
1700002	ChooseCrossingFastestStrategy	R2L	527	5	2
2810001	ChooseCrossingFastestStrategy	L2R	860	3	1
5370001	ChooseCrossingFastestStrategy	L2R	1628	5	1
5370003	ChooseCrossingFastestStrategy	R2L	1629	4	2
5370002	ChooseCrossingFastestStrategy	R2L	1628	2	2
9810001	ChooseCrossingFastestStrategy	R2L	2960	1	2
2380001	ChooseCrossingFastestStrategy	R2L	731	5	2
2380002	ChooseCrossingFastestStrategy	R2L	731	1	3
9810003	ChooseCrossingFastestStrategy	R2L	2960	4	3
2380003	ChooseCrossingFastestStrategy	R2L	732	2	2
9810002	ChooseCrossingFastestStrategy	L2R	2960	5	1
3830002	ChooseCrossingFastestStrategy	L2R	1166	2	3
3830003	ChooseCrossingFastestStrategy	R2L	1166	3	2
6820001	ChooseCrossingFastestStrategy	R2L	2063	3	2
6820002	ChooseCrossingFastestStrategy	L2R	2063	2	1
